id,SAL_CODE_2021,SAL_NAME_2021,STATE_CODE_2021,STATE_NAME_2021,AUS_CODE_2021,AUS_NAME_2021,AREA_ALBERS_SQKM,ASGS_LOCI_URI_2021
"23","10023",Akolele,"1",New South Wales,AUS,Australia,5.9502,http://linked.data.gov.au/dataset/asgsed3/SAL/10023
"24","10024",Albert,"1",New South Wales,AUS,Australia,690.5799,http://linked.data.gov.au/dataset/asgsed3/SAL/10024
"25","10025",Albion Park,"1",New South Wales,AUS,Australia,9.0983,http://linked.data.gov.au/dataset/asgsed3/SAL/10025
"26","10026",Albion Park Rail,"1",New South Wales,AUS,Australia,7.1632,http://linked.data.gov.au/dataset/asgsed3/SAL/10026
"27","10027",Albury,"1",New South Wales,AUS,Australia,5.6834,http://linked.data.gov.au/dataset/asgsed3/SAL/10027
"28","10028",Aldavilla,"1",New South Wales,AUS,Australia,15.0762,http://linked.data.gov.au/dataset/asgsed3/SAL/10028
"29","10029",Alectown,"1",New South Wales,AUS,Australia,277.1442,http://linked.data.gov.au/dataset/asgsed3/SAL/10029
"30","10030",Alexandria,"1",New South Wales,AUS,Australia,3.537,http://linked.data.gov.au/dataset/asgsed3/SAL/10030
"31","10031",Alfords Point,"1",New South Wales,AUS,Australia,2.5665,http://linked.data.gov.au/dataset/asgsed3/SAL/10031
"32","10032",Alfredtown,"1",New South Wales,AUS,Australia,75.0792,http://linked.data.gov.au/dataset/asgsed3/SAL/10032
"33","10033",Alice,"1",New South Wales,AUS,Australia,13.2753,http://linked.data.gov.au/dataset/asgsed3/SAL/10033
"34","10034",Alison (Central Coast - NSW),"1",New South Wales,AUS,Australia,1.3958,http://linked.data.gov.au/dataset/asgsed3/SAL/10034
"35","10035",Alison (Dungog - NSW),"1",New South Wales,AUS,Australia,19.2707,http://linked.data.gov.au/dataset/asgsed3/SAL/10035
"36","10036",Allambie Heights,"1",New South Wales,AUS,Australia,6.6746,http://linked.data.gov.au/dataset/asgsed3/SAL/10036
"37","10037",Allandale (NSW),"1",New South Wales,AUS,Australia,10.4827,http://linked.data.gov.au/dataset/asgsed3/SAL/10037
"38","10038",Allawah,"1",New South Wales,AUS,Australia,0.5837,http://linked.data.gov.au/dataset/asgsed3/SAL/10038
"39","10039",Alleena,"1",New South Wales,AUS,Australia,269.6334,http://linked.data.gov.au/dataset/asgsed3/SAL/10039
"40","10040",Allgomera,"1",New South Wales,AUS,Australia,120.3883,http://linked.data.gov.au/dataset/asgsed3/SAL/10040
"41","10041",Allworth,"1",New South Wales,AUS,Australia,18.2505,http://linked.data.gov.au/dataset/asgsed3/SAL/10041
"42","10042",Allynbrook,"1",New South Wales,AUS,Australia,34.1815,http://linked.data.gov.au/dataset/asgsed3/SAL/10042
"43","10043",Alma Park,"1",New South Wales,AUS,Australia,87.6845,http://linked.data.gov.au/dataset/asgsed3/SAL/10043
"44","10044",Alpine,"1",New South Wales,AUS,Australia,23.0329,http://linked.data.gov.au/dataset/asgsed3/SAL/10044
"45","10045",Alstonvale,"1",New South Wales,AUS,Australia,10.2583,http://linked.data.gov.au/dataset/asgsed3/SAL/10045
"46","10046",Alstonville,"1",New South Wales,AUS,Australia,28.8249,http://linked.data.gov.au/dataset/asgsed3/SAL/10046
"47","10047",Alumy Creek,"1",New South Wales,AUS,Australia,9.0532,http://linked.data.gov.au/dataset/asgsed3/SAL/10047
"48","10048",Amaroo (NSW),"1",New South Wales,AUS,Australia,16.7796,http://linked.data.gov.au/dataset/asgsed3/SAL/10048
"49","10049",Ambarvale,"1",New South Wales,AUS,Australia,2.848,http://linked.data.gov.au/dataset/asgsed3/SAL/10049
"50","10050",Amosfield,"1",New South Wales,AUS,Australia,58.0841,http://linked.data.gov.au/dataset/asgsed3/SAL/10050
"51","10051",Anabranch North,"1",New South Wales,AUS,Australia,1661.3937,http://linked.data.gov.au/dataset/asgsed3/SAL/10051
"52","10052",Anabranch South,"1",New South Wales,AUS,Australia,2279.4634,http://linked.data.gov.au/dataset/asgsed3/SAL/10052
"53","10053",Anambah,"1",New South Wales,AUS,Australia,11.5924,http://linked.data.gov.au/dataset/asgsed3/SAL/10053
"54","10054",Ando,"1",New South Wales,AUS,Australia,112.1626,http://linked.data.gov.au/dataset/asgsed3/SAL/10054
"55","10055",Anembo,"1",New South Wales,AUS,Australia,171.8203,http://linked.data.gov.au/dataset/asgsed3/SAL/10055
"56","10056",Angledale,"1",New South Wales,AUS,Australia,26.8133,http://linked.data.gov.au/dataset/asgsed3/SAL/10056
"57","10057",Angledool,"1",New South Wales,AUS,Australia,689.3144,http://linked.data.gov.au/dataset/asgsed3/SAL/10057
"58","10058",Anglers Reach,"1",New South Wales,AUS,Australia,11.1265,http://linked.data.gov.au/dataset/asgsed3/SAL/10058
"59","10059",Angourie,"1",New South Wales,AUS,Australia,3.5357,http://linked.data.gov.au/dataset/asgsed3/SAL/10059
"60","10060",Angus,"1",New South Wales,AUS,Australia,6.0899,http://linked.data.gov.au/dataset/asgsed3/SAL/10060
"61","10061",Anna Bay,"1",New South Wales,AUS,Australia,22.2502,http://linked.data.gov.au/dataset/asgsed3/SAL/10061
"62","10062",Annandale (NSW),"1",New South Wales,AUS,Australia,1.4931,http://linked.data.gov.au/dataset/asgsed3/SAL/10062
"63","10063",Annangrove,"1",New South Wales,AUS,Australia,10.2464,http://linked.data.gov.au/dataset/asgsed3/SAL/10063
"64","10064",Appin (NSW),"1",New South Wales,AUS,Australia,102.055,http://linked.data.gov.au/dataset/asgsed3/SAL/10064
"65","10065",Apple Tree Flat,"1",New South Wales,AUS,Australia,17.0216,http://linked.data.gov.au/dataset/asgsed3/SAL/10065
"66","10066",Appleby,"1",New South Wales,AUS,Australia,18.1519,http://linked.data.gov.au/dataset/asgsed3/SAL/10066
"67","10067",Appletree Flat,"1",New South Wales,AUS,Australia,28.5322,http://linked.data.gov.au/dataset/asgsed3/SAL/10067
"68","10068",Apsley (NSW),"1",New South Wales,AUS,Australia,28.2301,http://linked.data.gov.au/dataset/asgsed3/SAL/10068
"69","10069",Arable,"1",New South Wales,AUS,Australia,116.3272,http://linked.data.gov.au/dataset/asgsed3/SAL/10069
"70","10070",Arakoon,"1",New South Wales,AUS,Australia,24.794,http://linked.data.gov.au/dataset/asgsed3/SAL/10070
"71","10071",Araluen (NSW),"1",New South Wales,AUS,Australia,121.2736,http://linked.data.gov.au/dataset/asgsed3/SAL/10071
"72","10072",Aratula (NSW),"1",New South Wales,AUS,Australia,163.3817,http://linked.data.gov.au/dataset/asgsed3/SAL/10072
"73","10073",Arcadia (NSW),"1",New South Wales,AUS,Australia,22.4088,http://linked.data.gov.au/dataset/asgsed3/SAL/10073
"74","10074",Arcadia Vale,"1",New South Wales,AUS,Australia,1.3455,http://linked.data.gov.au/dataset/asgsed3/SAL/10074
"75","10075",Ardglen,"1",New South Wales,AUS,Australia,72.2728,http://linked.data.gov.au/dataset/asgsed3/SAL/10075
"76","10076",Arding,"1",New South Wales,AUS,Australia,54.771,http://linked.data.gov.au/dataset/asgsed3/SAL/10076
"77","10077",Ardlethan,"1",New South Wales,AUS,Australia,538.8725,http://linked.data.gov.au/dataset/asgsed3/SAL/10077
"78","10078",Argalong,"1",New South Wales,AUS,Australia,132.3034,http://linked.data.gov.au/dataset/asgsed3/SAL/10078
"79","10079",Argenton,"1",New South Wales,AUS,Australia,1.5233,http://linked.data.gov.au/dataset/asgsed3/SAL/10079
"80","10080",Argents Hill,"1",New South Wales,AUS,Australia,76.2545,http://linked.data.gov.au/dataset/asgsed3/SAL/10080
"81","10081",Argoon,"1",New South Wales,AUS,Australia,247.1246,http://linked.data.gov.au/dataset/asgsed3/SAL/10081
"82","10082",Ariah Park,"1",New South Wales,AUS,Australia,489.991,http://linked.data.gov.au/dataset/asgsed3/SAL/10082
"83","10083",Arkell,"1",New South Wales,AUS,Australia,66.8602,http://linked.data.gov.au/dataset/asgsed3/SAL/10083
"84","10084",Arkstone,"1",New South Wales,AUS,Australia,79.3706,http://linked.data.gov.au/dataset/asgsed3/SAL/10084
"85","10085",Armatree,"1",New South Wales,AUS,Australia,484.98,http://linked.data.gov.au/dataset/asgsed3/SAL/10085
"86","10086",Armidale,"1",New South Wales,AUS,Australia,274.5996,http://linked.data.gov.au/dataset/asgsed3/SAL/10086
"87","10087",Arncliffe,"1",New South Wales,AUS,Australia,2.9429,http://linked.data.gov.au/dataset/asgsed3/SAL/10087
"88","10088",Arndell Park,"1",New South Wales,AUS,Australia,2.0008,http://linked.data.gov.au/dataset/asgsed3/SAL/10088
"89","10089",Arrawarra,"1",New South Wales,AUS,Australia,2.818,http://linked.data.gov.au/dataset/asgsed3/SAL/10089
"90","10090",Arrawarra Headland,"1",New South Wales,AUS,Australia,2.6804,http://linked.data.gov.au/dataset/asgsed3/SAL/10090
"91","10091",Artarmon,"1",New South Wales,AUS,Australia,2.5348,http://linked.data.gov.au/dataset/asgsed3/SAL/10091
"92","10092",Arthurville,"1",New South Wales,AUS,Australia,72.5398,http://linked.data.gov.au/dataset/asgsed3/SAL/10092
"93","10093",Arumpo,"1",New South Wales,AUS,Australia,5396.4077,http://linked.data.gov.au/dataset/asgsed3/SAL/10093
"94","10094",Ashbury,"1",New South Wales,AUS,Australia,1.0312,http://linked.data.gov.au/dataset/asgsed3/SAL/10094
"95","10095",Ashby (NSW),"1",New South Wales,AUS,Australia,14.03,http://linked.data.gov.au/dataset/asgsed3/SAL/10095
"96","10096",Ashby Heights,"1",New South Wales,AUS,Australia,32.3489,http://linked.data.gov.au/dataset/asgsed3/SAL/10096
"97","10097",Ashby Island,"1",New South Wales,AUS,Australia,2.4098,http://linked.data.gov.au/dataset/asgsed3/SAL/10097
"98","10098",Ashcroft,"1",New South Wales,AUS,Australia,1.1539,http://linked.data.gov.au/dataset/asgsed3/SAL/10098
"99","10099",Ashfield (NSW),"1",New South Wales,AUS,Australia,3.4144,http://linked.data.gov.au/dataset/asgsed3/SAL/10099
"100","10100",Ashford (NSW),"1",New South Wales,AUS,Australia,681.0473,http://linked.data.gov.au/dataset/asgsed3/SAL/10100
"101","10101",Ashley,"1",New South Wales,AUS,Australia,332.7669,http://linked.data.gov.au/dataset/asgsed3/SAL/10101
"102","10102",Ashmont,"1",New South Wales,AUS,Australia,2.4289,http://linked.data.gov.au/dataset/asgsed3/SAL/10102
"103","10103",Ashtonfield,"1",New South Wales,AUS,Australia,6.8336,http://linked.data.gov.au/dataset/asgsed3/SAL/10103
"104","10104",Asquith,"1",New South Wales,AUS,Australia,3.5033,http://linked.data.gov.au/dataset/asgsed3/SAL/10104
"105","10105",Atholwood,"1",New South Wales,AUS,Australia,454.4564,http://linked.data.gov.au/dataset/asgsed3/SAL/10105
"106","10106",Attunga,"1",New South Wales,AUS,Australia,218.7213,http://linked.data.gov.au/dataset/asgsed3/SAL/10106
"107","10107",Auburn (NSW),"1",New South Wales,AUS,Australia,8.5637,http://linked.data.gov.au/dataset/asgsed3/SAL/10107
"108","10108",Auburn Vale,"1",New South Wales,AUS,Australia,63.6472,http://linked.data.gov.au/dataset/asgsed3/SAL/10108
"109","10109",Austinmer,"1",New South Wales,AUS,Australia,3.3572,http://linked.data.gov.au/dataset/asgsed3/SAL/10109
"110","10110",Austral,"1",New South Wales,AUS,Australia,17.6611,http://linked.data.gov.au/dataset/asgsed3/SAL/10110
"111","10111",Austral Eden,"1",New South Wales,AUS,Australia,13.6185,http://linked.data.gov.au/dataset/asgsed3/SAL/10111
"112","10112",Avalon Beach,"1",New South Wales,AUS,Australia,5.1524,http://linked.data.gov.au/dataset/asgsed3/SAL/10112
"113","10113",Avisford,"1",New South Wales,AUS,Australia,18.3025,http://linked.data.gov.au/dataset/asgsed3/SAL/10113
"114","10114",Avoca (NSW),"1",New South Wales,AUS,Australia,24.6252,http://linked.data.gov.au/dataset/asgsed3/SAL/10114
"115","10115",Avoca Beach,"1",New South Wales,AUS,Australia,4.4418,http://linked.data.gov.au/dataset/asgsed3/SAL/10115
"116","10116",Avon (NSW),"1",New South Wales,AUS,Australia,265.8204,http://linked.data.gov.au/dataset/asgsed3/SAL/10116
"117","10117",Avondale (NSW),"1",New South Wales,AUS,Australia,18.3129,http://linked.data.gov.au/dataset/asgsed3/SAL/10117
"118","10118",Avonside,"1",New South Wales,AUS,Australia,57.3648,http://linked.data.gov.au/dataset/asgsed3/SAL/10118
"119","10119",Awaba,"1",New South Wales,AUS,Australia,23.1193,http://linked.data.gov.au/dataset/asgsed3/SAL/10119
"120","10120",Aylmerton,"1",New South Wales,AUS,Australia,2.7956,http://linked.data.gov.au/dataset/asgsed3/SAL/10120
"121","10121",Baan Baa,"1",New South Wales,AUS,Australia,254.9381,http://linked.data.gov.au/dataset/asgsed3/SAL/10121
"122","10122",Babinda (NSW),"1",New South Wales,AUS,Australia,476.2417,http://linked.data.gov.au/dataset/asgsed3/SAL/10122
"123","10123",Babyl Creek,"1",New South Wales,AUS,Australia,25.8859,http://linked.data.gov.au/dataset/asgsed3/SAL/10123
"124","10124",Back Creek (Bland - NSW),"1",New South Wales,AUS,Australia,449.795,http://linked.data.gov.au/dataset/asgsed3/SAL/10124
"125","10125",Back Creek (Gwydir - NSW),"1",New South Wales,AUS,Australia,119.9515,http://linked.data.gov.au/dataset/asgsed3/SAL/10125
"126","10126",Back Creek (Mid-Coast - NSW),"1",New South Wales,AUS,Australia,31.5289,http://linked.data.gov.au/dataset/asgsed3/SAL/10126
"127","10127",Back Creek (Queanbeyan-Palerang Regional - NSW),"1",New South Wales,AUS,Australia,39.2653,http://linked.data.gov.au/dataset/asgsed3/SAL/10127
"128","10128",Back Creek (Tenterfield - NSW),"1",New South Wales,AUS,Australia,200.4098,http://linked.data.gov.au/dataset/asgsed3/SAL/10128
"129","10129",Back Creek (Tweed - NSW),"1",New South Wales,AUS,Australia,7.4364,http://linked.data.gov.au/dataset/asgsed3/SAL/10129
"130","10130",Back Forest,"1",New South Wales,AUS,Australia,5.979,http://linked.data.gov.au/dataset/asgsed3/SAL/10130
"131","10131",Backmede,"1",New South Wales,AUS,Australia,29.4886,http://linked.data.gov.au/dataset/asgsed3/SAL/10131
"132","10132",Backwater,"1",New South Wales,AUS,Australia,126.3462,http://linked.data.gov.au/dataset/asgsed3/SAL/10132
"133","10133",Badgerys Creek,"1",New South Wales,AUS,Australia,26.981,http://linked.data.gov.au/dataset/asgsed3/SAL/10133
"134","10134",Badja,"1",New South Wales,AUS,Australia,130.2836,http://linked.data.gov.au/dataset/asgsed3/SAL/10134
"135","10135",Baerami,"1",New South Wales,AUS,Australia,151.2264,http://linked.data.gov.au/dataset/asgsed3/SAL/10135
"136","10136",Baerami Creek,"1",New South Wales,AUS,Australia,367.2391,http://linked.data.gov.au/dataset/asgsed3/SAL/10136
"137","10137",Bagnoo,"1",New South Wales,AUS,Australia,37.7957,http://linked.data.gov.au/dataset/asgsed3/SAL/10137
"138","10138",Bago,"1",New South Wales,AUS,Australia,63.0427,http://linked.data.gov.au/dataset/asgsed3/SAL/10138
"139","10139",Bagotville,"1",New South Wales,AUS,Australia,9.9221,http://linked.data.gov.au/dataset/asgsed3/SAL/10139
"140","10140",Bakers Creek (Mid-Coast - NSW),"1",New South Wales,AUS,Australia,40.4685,http://linked.data.gov.au/dataset/asgsed3/SAL/10140
"141","10141",Bakers Creek (Nambucca Valley - NSW),"1",New South Wales,AUS,Australia,57.2165,http://linked.data.gov.au/dataset/asgsed3/SAL/10141
"142","10142",Bakers Creek (Uralla - NSW),"1",New South Wales,AUS,Australia,161.5919,http://linked.data.gov.au/dataset/asgsed3/SAL/10142
"143","10143",Bakers Swamp,"1",New South Wales,AUS,Australia,136.4942,http://linked.data.gov.au/dataset/asgsed3/SAL/10143
"144","10144",Balaclava (NSW),"1",New South Wales,AUS,Australia,2.376,http://linked.data.gov.au/dataset/asgsed3/SAL/10144
"145","10145",Balala,"1",New South Wales,AUS,Australia,357.1643,http://linked.data.gov.au/dataset/asgsed3/SAL/10145
"146","10146",Balcolyn,"1",New South Wales,AUS,Australia,0.7391,http://linked.data.gov.au/dataset/asgsed3/SAL/10146
"147","10147",Bald Blair,"1",New South Wales,AUS,Australia,101.2316,http://linked.data.gov.au/dataset/asgsed3/SAL/10147
"148","10148",Bald Hills (NSW),"1",New South Wales,AUS,Australia,10.7141,http://linked.data.gov.au/dataset/asgsed3/SAL/10148
"149","10149",Bald Nob,"1",New South Wales,AUS,Australia,77.4933,http://linked.data.gov.au/dataset/asgsed3/SAL/10149
"150","10150",Bald Ridge,"1",New South Wales,AUS,Australia,135.8045,http://linked.data.gov.au/dataset/asgsed3/SAL/10150
"151","10151",Baldersleigh,"1",New South Wales,AUS,Australia,164.3569,http://linked.data.gov.au/dataset/asgsed3/SAL/10151
"152","10152",Baldry,"1",New South Wales,AUS,Australia,473.5339,http://linked.data.gov.au/dataset/asgsed3/SAL/10152
"153","10153",Balfours Peak,"1",New South Wales,AUS,Australia,170.9276,http://linked.data.gov.au/dataset/asgsed3/SAL/10153
"154","10154",Balgowlah,"1",New South Wales,AUS,Australia,1.959,http://linked.data.gov.au/dataset/asgsed3/SAL/10154
"155","10155",Balgowlah Heights,"1",New South Wales,AUS,Australia,1.6838,http://linked.data.gov.au/dataset/asgsed3/SAL/10155
"156","10156",Balgownie,"1",New South Wales,AUS,Australia,3.7153,http://linked.data.gov.au/dataset/asgsed3/SAL/10156
"157","10157",Balickera,"1",New South Wales,AUS,Australia,27.4725,http://linked.data.gov.au/dataset/asgsed3/SAL/10157
"158","10158",Balladoran,"1",New South Wales,AUS,Australia,243.1277,http://linked.data.gov.au/dataset/asgsed3/SAL/10158
"159","10159",Ballalaba,"1",New South Wales,AUS,Australia,43.7739,http://linked.data.gov.au/dataset/asgsed3/SAL/10159
"160","10160",Balldale,"1",New South Wales,AUS,Australia,191.2906,http://linked.data.gov.au/dataset/asgsed3/SAL/10160
"161","10161",Ballengarra,"1",New South Wales,AUS,Australia,23.3563,http://linked.data.gov.au/dataset/asgsed3/SAL/10161
"162","10162",Ballimore,"1",New South Wales,AUS,Australia,229.3129,http://linked.data.gov.au/dataset/asgsed3/SAL/10162
"163","10163",Ballina,"1",New South Wales,AUS,Australia,20.468,http://linked.data.gov.au/dataset/asgsed3/SAL/10163
"164","10164",Ballyroe,"1",New South Wales,AUS,Australia,82.9191,http://linked.data.gov.au/dataset/asgsed3/SAL/10164
"165","10165",Balmain,"1",New South Wales,AUS,Australia,1.5378,http://linked.data.gov.au/dataset/asgsed3/SAL/10165
"166","10166",Balmain East,"1",New South Wales,AUS,Australia,0.343,http://linked.data.gov.au/dataset/asgsed3/SAL/10166
"167","10167",Balmoral (Lake Macquarie - NSW),"1",New South Wales,AUS,Australia,0.8572,http://linked.data.gov.au/dataset/asgsed3/SAL/10167
"168","10168",Balmoral (Wingecarribee - NSW),"1",New South Wales,AUS,Australia,26.3216,http://linked.data.gov.au/dataset/asgsed3/SAL/10168
"169","10169",Balranald,"1",New South Wales,AUS,Australia,5203.5484,http://linked.data.gov.au/dataset/asgsed3/SAL/10169
"170","10170",Bamarang,"1",New South Wales,AUS,Australia,11.8092,http://linked.data.gov.au/dataset/asgsed3/SAL/10170
"171","10171",Banda Banda,"1",New South Wales,AUS,Australia,70.5119,http://linked.data.gov.au/dataset/asgsed3/SAL/10171
"172","10172",Bandon Grove,"1",New South Wales,AUS,Australia,50.4499,http://linked.data.gov.au/dataset/asgsed3/SAL/10172
"173","10173",Bangadang,"1",New South Wales,AUS,Australia,17.9611,http://linked.data.gov.au/dataset/asgsed3/SAL/10173
"174","10174",Bangalee (NSW),"1",New South Wales,AUS,Australia,6.5613,http://linked.data.gov.au/dataset/asgsed3/SAL/10174
"175","10175",Bangalow,"1",New South Wales,AUS,Australia,24.4046,http://linked.data.gov.au/dataset/asgsed3/SAL/10175
"176","10176",Bangheet,"1",New South Wales,AUS,Australia,183.8029,http://linked.data.gov.au/dataset/asgsed3/SAL/10176
"177","10177",Bango,"1",New South Wales,AUS,Australia,108.4104,http://linked.data.gov.au/dataset/asgsed3/SAL/10177
"178","10178",Bangor (NSW),"1",New South Wales,AUS,Australia,3.9221,http://linked.data.gov.au/dataset/asgsed3/SAL/10178
"179","10179",Banksia,"1",New South Wales,AUS,Australia,0.9568,http://linked.data.gov.au/dataset/asgsed3/SAL/10179
"180","10180",Banksmeadow,"1",New South Wales,AUS,Australia,4.1582,http://linked.data.gov.au/dataset/asgsed3/SAL/10180
"181","10181",Bankstown,"1",New South Wales,AUS,Australia,6.3542,http://linked.data.gov.au/dataset/asgsed3/SAL/10181
"182","10182",Bankstown Aerodrome,"1",New South Wales,AUS,Australia,3.7302,http://linked.data.gov.au/dataset/asgsed3/SAL/10182
"183","10183",Bannaby,"1",New South Wales,AUS,Australia,242.3257,http://linked.data.gov.au/dataset/asgsed3/SAL/10183
"184","10184",Bannister (NSW),"1",New South Wales,AUS,Australia,109.924,http://linked.data.gov.au/dataset/asgsed3/SAL/10184
"185","10185",Banoon,"1",New South Wales,AUS,Australia,122.9755,http://linked.data.gov.au/dataset/asgsed3/SAL/10185
"186","10186",Banora Point,"1",New South Wales,AUS,Australia,9.2645,http://linked.data.gov.au/dataset/asgsed3/SAL/10186
"187","10187",Banyabba,"1",New South Wales,AUS,Australia,206.6207,http://linked.data.gov.au/dataset/asgsed3/SAL/10187
"188","10188",Bar Beach,"1",New South Wales,AUS,Australia,0.5058,http://linked.data.gov.au/dataset/asgsed3/SAL/10188
"189","10189",Bar Point,"1",New South Wales,AUS,Australia,10.0358,http://linked.data.gov.au/dataset/asgsed3/SAL/10189
"190","10190",Bara,"1",New South Wales,AUS,Australia,27.6084,http://linked.data.gov.au/dataset/asgsed3/SAL/10190
"191","10191",Baradine,"1",New South Wales,AUS,Australia,1199.8265,http://linked.data.gov.au/dataset/asgsed3/SAL/10191
"192","10192",Barangaroo,"1",New South Wales,AUS,Australia,0.2227,http://linked.data.gov.au/dataset/asgsed3/SAL/10192
"193","10193",Barcoongere,"1",New South Wales,AUS,Australia,193.4716,http://linked.data.gov.au/dataset/asgsed3/SAL/10193
"194","10194",Barden Ridge,"1",New South Wales,AUS,Australia,5.599,http://linked.data.gov.au/dataset/asgsed3/SAL/10194
"195","10195",Bardia,"1",New South Wales,AUS,Australia,2.1106,http://linked.data.gov.au/dataset/asgsed3/SAL/10195
"196","10196",Bardwell Park,"1",New South Wales,AUS,Australia,0.9557,http://linked.data.gov.au/dataset/asgsed3/SAL/10196
"197","10197",Bardwell Valley,"1",New South Wales,AUS,Australia,0.6271,http://linked.data.gov.au/dataset/asgsed3/SAL/10197
"198","10198",Barellan,"1",New South Wales,AUS,Australia,986.5272,http://linked.data.gov.au/dataset/asgsed3/SAL/10198
"199","10199",Bargo,"1",New South Wales,AUS,Australia,49.0897,http://linked.data.gov.au/dataset/asgsed3/SAL/10199
"200","10200",Barham,"1",New South Wales,AUS,Australia,472.8032,http://linked.data.gov.au/dataset/asgsed3/SAL/10200
"201","10201",Barigan,"1",New South Wales,AUS,Australia,123.9167,http://linked.data.gov.au/dataset/asgsed3/SAL/10201
"202","10202",Barkers Vale,"1",New South Wales,AUS,Australia,26.01,http://linked.data.gov.au/dataset/asgsed3/SAL/10202
"203","10203",Barmedman,"1",New South Wales,AUS,Australia,708.1132,http://linked.data.gov.au/dataset/asgsed3/SAL/10203
"204","10204",Barneys Reef,"1",New South Wales,AUS,Australia,15.4938,http://linked.data.gov.au/dataset/asgsed3/SAL/10204
"205","10205",Barnsley,"1",New South Wales,AUS,Australia,3.5268,http://linked.data.gov.au/dataset/asgsed3/SAL/10205
"206","10206",Barooga,"1",New South Wales,AUS,Australia,98.1215,http://linked.data.gov.au/dataset/asgsed3/SAL/10206
"207","10207",Barraba,"1",New South Wales,AUS,Australia,523.5401,http://linked.data.gov.au/dataset/asgsed3/SAL/10207
"208","10208",Barrack Heights,"1",New South Wales,AUS,Australia,2.416,http://linked.data.gov.au/dataset/asgsed3/SAL/10208
"209","10209",Barrack Point,"1",New South Wales,AUS,Australia,0.4332,http://linked.data.gov.au/dataset/asgsed3/SAL/10209
"210","10210",Barraganyatti,"1",New South Wales,AUS,Australia,50.5998,http://linked.data.gov.au/dataset/asgsed3/SAL/10210
"211","10211",Barragga Bay,"1",New South Wales,AUS,Australia,2.4958,http://linked.data.gov.au/dataset/asgsed3/SAL/10211
"212","10212",Barratta (NSW),"1",New South Wales,AUS,Australia,659.3342,http://linked.data.gov.au/dataset/asgsed3/SAL/10212
"213","10213",Barren Grounds,"1",New South Wales,AUS,Australia,16.1586,http://linked.data.gov.au/dataset/asgsed3/SAL/10213
"214","10214",Barrengarry,"1",New South Wales,AUS,Australia,42.3946,http://linked.data.gov.au/dataset/asgsed3/SAL/10214
